Account,Token Account,Quantity,Percentage
8FQLYVyfM2TpYVwmnem9aS4kcejby97E5CWeEqQxoRsr,75YH9z9A6WpjCTCQNaqjnMBp8FGraMubHQfC8K3tcNpi,5211622.81,0.52
45yBcpnzFTqLYQJtjxsa1DdZkgrTYponCg6yLQ6LQPu6,uEruZLRkpwGu165GxS6dD6J3XHZsKRRZjZzzYpLopBa,4769208.28,0.48
B5GsFRdB5bTHhPAqLzZHXknaLoADEFpYCLcHUJnGW7sN,8RmxNHhmod1tQjqaRGnPq7P6kU3mvdc88jns2txU2xZr,4657230.26,0.47
7D2GJCfYeAvaTUTLvQBfEjnm3vTHbGc2WQRKL4rgW4TF,812TctMz9jNLVE3jwDHs5dVqdbyJbm1i4eBw2NZFMCTW,4547394.63,0.45
4AtAtkDRVvnJQJBHzDDHMVqjjx6g8ybMkvtq5od8achF,D5w9VqkFMi3Gg8FZJwNyqiBfm5aK76LTba71GynDa19b,4311197.64,0.43
6SRFPEQeJKdiKHgDYN7ScdP6rYZDPxgsBsy1kx11zsJa,CAEm9PHpNtNbasxLNuJgK74YC7KFzbWun3yJuV3CxLdW,4181660.79,0.42
SYEoErag5NfTkp5gj4Et2X39Xskr12pzw3kzhRmstex,DHx9Bn3F7E2fBAk8RwQpsAM13ofPCw76gwdhoVf9h4bV,4174843.26,0.42
7sxjync7epftrMbWQ552RfM7wiyMXPFkwqjyri2jEnyb,2Vk9k5CxLNyTY59rFfnygkrDpgrM4MD6F9wSoZ5Lmt5C,4116001.06,0.41
AtTjQKXo1CYTa2MuxPARtr382ZyhPU5YX4wMMpvaa1oy,HZU3UtfCoeWZ4K5a9eFtrsjSgv1gxVkbDWv4gKohkXEb,4062165.54,0.41
2jpipyb6DQH1zMxdhFdGyxcCV1nV2ywwZGMto176XpzP,3Vpum1mSVaWTcfH9DhHmKWYFAiA1nJikRm87HJGKMXC3,3982725.14,0.40
5Ub3TehZv9LV52tkpWmX7xeDhM2UeHN3XyEMSzweLEHz,E8i4ZURVn8YwezCv65zRwyYpD8Mai1j77tbgZtPizrH6,3841603.13,0.38
