Account,Token Account,Quantity,Percentage
Fs2f5rNW7MsyfBcdU6NfYsMkrnNSuACuRsNJvrLEDezC,57uMScER8MR5UttnuxsFiE8d4sxV9aYjb5nEfGmBPN4o,4425780.09,0.44
ACHhRQMbTxuWqU3bmbBbgUNGsPsYnvB8KLcPkkXCY1C7,6UmPGhq6sQPNYTPg5AQvdjkJd4An1GsU5kNAoz9smg7B,4282339.00,0.43
CskQrvhZQYsjuzkwqKTS2cxAoBph7rcBj3tDHLHWZ5Dn,6mn9jdafiDP6TVhTDTk8aUEVoVM8jtUHZzwssLBt1Krg,4261578.06,0.43
BSZ5Qn9DEZZhXvTGvaQhobgXCCZPJDSkgB9dZnAhgAPd,HBW9d3x8JHQyzzpRNfg9Jdp3ayFhx5d82egUWDj2EtS,4236744.00,0.42
BEPbawYXnS5SEDyWFnUDvojkxpUK88rTvdwCkBqSknyr,CbS6qVdQRQTEmnLQeAbyx5P1MrQNqXUCeAVhP5wnyYjA,4060897.94,0.41
BNg9nWLEw5NpJEFufMXp1b2eyBJiADvhL2LwMciwdVud,D9DCjYnuVoNjSVzKYhAgTGg2dzocSeiX9EFRcE2A2Zxt,4006321.72,0.40
3KNCdquQuPBq6ZWChRJr8jGpkoyZ5LurLCt6sNJJMxbq,2oCqtkdXHTjCyxdG4dj56kkaUpNKwzF2pBYV5PHEjEvJ,4001046.45,0.40
CMsvpJ74L6r2DKiMV6KqP6yTqn2gbapD7KGA7NAtW9nP,2Jr1CWYVp1p43727Z4wjj9aESwkR8sfzGMdurWqikKG4,3969155.18,0.40
A74kLMrBykSZnZAhhoVwAzSLDeJg1ajhv4BeoKKoHx8W,4Y88JkSPivv19Akh3aRZ4CdYWV2wmwh437XnHAV42wEz,3868519.93,0.39
3MnDSRjsYbYJFASJyzWNCNTnZ9JyibGyeH2JTcExtzB8,2w4n4htixAvJH2kai6pkyMBife4wAmCaz4X3rqFDYGra,3861211.00,0.39
4GQeEya6ZTwvXre4Br6ZfDyfe2WQMkcDz2QbkJZazVqS,8KxHnpkWLJ9so53Y2WUEjyfBtdF7tRuRHASiV5FR6sz6,3855049.84,0.39
7sav48viPQr9LoHEoaZVMTQFTiXXfgEkZWRXrpEYRrjj,8CJAW8mhHDxDkuhv9LoSbHgmrDmJX5pQUMswPmU51EEv,3764296.34,0.38
Bs6cTDM6Ac6WfenqEG4mNp156b7ZYGMcTXzo2MoZxtg5,7ExWcP7dh3HFdvstJZBoX4X36ZHBkHipFzhBbGbL7eHk,3695152.34,0.37
7MV6vtiFJPhHgBQc6Ch4hHCrYfXRr5xkbqEVUnomKXCK,pH2UYsB6ZcTyxk6DpuNmG1FTZxDWWgx2zdZGuJgYNaV,3597160.07,0.36
FUmABziHyV7cy2kexrM7Ci7qtf7HmCqSy9ygh3XRHkJU,EUeRuTRhXiUeP9Sxh99dA4SDvMqYMpexqur5EL1c9d1h,3570383.80,0.36
92PMK8SHGmtJYwyaoeYTTbLQu661HJS46WLXj6VBuny8,Ffq8GYgRMfmSJZb2MekC7zrYkW6YLJg22AXYom2Fr4uz,3325161.82,0.33
6C1ET3KBQe1xA3RCrU1DMHWUewDc8EfFzdzX7CWXk7v8,3TjX5vU3EGHmYNDCH9k6cCUgjCV1cCp9HoJJzvmLfapt,3320558.16,0.33
4z17XwFLdp578Xh6NfCst3jVSf7tsSYcsVwKCrTphGBi,8XX4rv7a4Qwfvj5o3KRz2T5UNRXaazy3fEagBBoC4zit,3282004.45,0.33
G3ztVULQTspy6wBwKVtGHMfX3GBi1FtsfQHzz3RU2bon,AU4PohAXxaeUBP832t6NopYcrCoG4kNydWVrhPyru24s,3140051.58,0.31
8quVxKzc21GybehhMKwhiuuVks9eg1carGoBUuqpZJ1a,3kDGG545zSJZ9gVErEt8yPTCkqXnVRCcmtb8peqMypCC,3127355.74,0.31
8gT3h8dPyb3dSxjDiGuWA4v7ibr3Rj9P11JewzutAjCJ,DQFMsUZ9BUvuxyPTGVy86Labz6JtFoGL9AKVfhHboHV4,3081476.35,0.31
CXcxM8vb8PwLU7DDjqKHAjn379zsYHo2GYhRUxJr9hrF,GUGZPDxJsm18GwRtLVAorEDPZAgZJcghaGrocmrZ41qW,3066345.73,0.31
4dQiGHhgyDGxt7eW2kpuYzbKFjDowmB7fXc3HgsDYDRx,6uUGrMKSivQWD8p2fgUbyWWT24VAHvYvGWaxEudyreru,3000000.00,0.30
9hmKQP3oWrzReU7t4BAwXup5N2TkU9YLHVdXyhpgTPga,GCHhMnGB6713GFBmp5kz72Pb3HfcWeSNnTFRTXGCfvHw,2964007.62,0.30
BhNM4TmFquM71f3D4S6s1e5QbADyWPVxFHNFhmv9jr4V,EivxqXTKMH1xnfEPS7j5MNCc6gE1baqHXVQ5eQWTgR8D,2884822.13,0.29
77DXFZnMebramt4dXfdwem1AjnfNnVnG8FkcVWpSwdjB,6bP5qXjUANi8FTb3p9PBts1yZvaTMfFhYqcnjDvaP1fd,2864178.00,0.29
