Account,Token Account,Quantity,Percentage
B5TMtr13uLdKMsbwabiyVpoCoMunsRR5juKVktAfNZ2J,ATsq5KZNkswDWbzHm5o697Mv3XGnZF7KkTn9baBFoov4,95238.25,0.15
45Nd98s5Eyvj4rAtRPZPGnm717BVuCG1g5dLjn8eFp89,HoSdseHd6F4AbkCzBFsyQuEZrRmzSYTi3LfRYY2zgQqE,94628.38,0.15
gemZg2hyj1Xs1TqMEaXdyLzEFu31u4u5wRkBA82fiVG,5NDBBDzMjNGWnUR64zhFFn93ZvmSB54GUeaF4W8fqgj4,93532.64,0.15
CySCk3xgpsnkYe1B4XByg75UiHhwM8XEv5FVDCKGGdr4,ET3Sdzqiwc78vZUfUx9Z4pMeBhjjd7MVv5mKQ3yseR1X,92601.90,0.14
5XhpHQ78K7wBkvtXvfCABg2ounhZzGTZ1u15LmHQUgr5,7u4ksx39s426XP46qkM8iWcjqN1iSdH2ndpvFtgACSSs,92430.61,0.14
3Esw9PqQ8QJ2af3CZCnWEyBHaw67M1v6i81xDq4zcazw,YcruFaybxEifdHtSsczBdGH4xDS2z1QbHkb7XLzhirW,91859.34,0.14
2cEhojqS5gkdpAXXAHbydyUBqSyhaipsAQUGqoK4wr6m,2jexkGtawgkSZkuS9cfR9RHuUKa7Uv81c7rZ8q18gsck,89747.56,0.14
5NS4J9xZrueJS8rYhzhJjn9RYGreQ16Dhh6iK7iS6zD2,8mnNPHftawpArJBfZgikHhrd3tCo8b1ybr5DKBpbcv8H,89284.32,0.14
EEMcMR9heh4KZpT78k4eLnCbTqiTPLMyxX2nKHYZkNrC,2iXEEqgWANahjgSVTqQcaDyCxGzLTGvEsofXEVasPfZx,86500.84,0.14
nxmoHSrjwV9nPJpfFcm91mZ7Tp3BoUfBpgHGrnjfKst,EeHB3LF8cavfkADoZdAqY463vGUT4tatyd1fXDnwhnw7,86201.84,0.13
8WrXKN6g9AEjzejNefNZYxh5vQZYWb8vQpmDYNURq6QF,9FhtK9e4JowXyggdp6ajH795xqjA8adnPx1CZfe1cSf8,85195.94,0.13
5HJZzZWb7LakP8HwukiJZujYKtKYoQW9ebJ7hFtpm8Qu,4HM93jwygMBRWDkh6HRFReeLAtzfg6dfXL21KwPt5fjm,84705.00,0.13
GJCrS5WEx2afq6Y1LhARjrnzaA7rAFyCs9Bokvsryo3q,DDSxSGyGi5uwrt6M98FJLJz7zBbpN2P8e6b4wuUTcy2y,84621.43,0.13
36TwD2H7kV1gK8VYtT1F4tALJ8m3tRgyPirKARWHGvaD,BpCbEiKoiTEkH1sEkjqZEpV6Ve9MNv9FYuLaejdGQ5XS,82937.71,0.13
GMqnhxReUDdLP5Bn7QB5yDYuXDQGmpRyK8sstXLzPztp,2kXcNrcLu7yFiQHsxdQqrbRJxypJX8bFJFgBzExK3yX6,82894.04,0.13
3KnCEMpiKJTFW7szJP2cLw8oZV3drZBfLkBjvNF8QGRd,2LBXb4k9gtEsA9beXS7no7zoizycA6xrsH3J85AuMUUb,81511.05,0.13
EiAVLWNaygjfUuwi1a6ihrPqcpb7dQQuwPMkSt6j9E6x,Dxr3ZEbQCECmawqjttREhmmGm3cBpTVkEywo5eERLkP6,81398.99,0.13
3ibBnDJkhn16WEAaCVwm9goze4Yep3zahWXDJ6em9rpq,65TGC6QgsYdLfekf5BSFcFHAvLeCmaRmisZ8aoMgv3ah,80352.20,0.13
3CV2kKvRvezULYsY9VqS7bB7gWQZaLfpZoTWZXg2bH1h,28fbLkQ3hBt4Xw2BjxetUfaSUn1E97sP9aH5gyXJyzNt,79426.47,0.12
