Account,Token Account,Quantity,Percentage
64Lavew6Y5Ek9EWNYaHrjSku2yUBsKgDYH43eA5JD7JT,3f78GxJaCFUrb4PToR9Pymwkhpo2F61Xktkz6wiSnQZG,311064.95,0.49
5EFSQZnfbravVCq4aA3g7ErBS9Pmig2sZLMC5FJkA5Do,8dXhHaVzsgHgSn2cEgQjKPfQ6bjVWgi7ANRkiKoz8Avm,302494.70,0.47
Gk8yAXrJLF8feQZdQQpF8fhUqt6z4TiHDLbsVZJyifzR,kNEvby3BJijnw6MkubrpKBEKTXCtZGZfDtxkbYma4aV,302040.40,0.47
etAUYmLvWcR7DBdLtbQVHT6QkzCXVNps6WUUG4myhAx,5vhkPcposmyBGwSMzoG28vXgUAtaiM9afboJZbnExMEN,292695.83,0.46
8y9ox5P36vD6vhxAbX3s8zSVA2XneEdrqvFBvkwH7ajh,7wQPnneGzxhDGrMFXSp8chNbq18hogGtxJgaxDhpDhR2,292551.71,0.46
DBmRHNbSsVX8F6NyVaaaiuGdwo1aYGawiy3jfNcvXYSC,6JTkigERYD7pCXkik2rt635x2S9HUUdKFbXhFmv69FjS,279441.02,0.44
9aCt2KAxhFEiMavyV9pNV4hu7gR2BwRHzST3tXPifvUu,Hz4r24u7xrQHXsv4C2BzpAt613Mku67rRdgZ5Y69hmoL,260233.17,0.41
89iZupAREVwaWH8eeQbDWbT3PVd41mQeVFNGiPDJMx2R,HpmBffB93qFJaeEyqgw48FJpJrbssLt5F5cFR8XARt6,256306.99,0.40
25mYnjJ2MXHZH6NvTTdA63JvjgRVcuiaj6MRiEQNs1Dq,3vxeDhx3asotPZL4iSbzzFjnEu25gZGgadStmT7ddfre,255182.25,0.40
Hm9RZAreCWJowteijs9Bsn53qEpTdhnYvcMyiLTL4gGZ,BZDwJjUaFR68pLUPV4qcSX1BqmrFVbmxT1yAAHj9D8wB,250424.93,0.39
GkPdyBbp5wp3JSJ2czomgRakyvHX5SFovdNU8axSoevj,FHxVsNQmXamRzG74aTFqGCoTh2V8wJBjUpXsdfs5JZpJ,245188.43,0.38
FX81BL2agvjPBCPfwHPtXJpZPYgZoZfzKYGinJNb4z2G,Fi3XyvkMvSvZ5m6uC4DzHNkerLpXvnTF9KwPB3JLoxoB,244859.72,0.38
CvUTBRJPpmbPJ6gxD7XZ2FH2tM45szfg75SNei2qfmEn,3LRTNaS6j5NsQDabuUwVYTc2Zb6n4V854uEMcHRUKL8J,235906.09,0.37
5acj78owoLp1zNjRThLxXRWKp2s1aGYv3wytYprBSzPQ,9G3s7RjY6zCVsSVabNgptb7cgsLsT7vwpTL9KAUCwDsA,233053.02,0.36
8WFQUxSvx7imjAng2aLGdA6FXMev9kzPkugDYicvr1aj,6mTpGhjEjCZTAHzZKAzrpH2yjB1wAWNneeu4s9o3SMPm,231147.31,0.36
2QpZQrsFsBhjrXycXBFhegV4KtXsPKmN76Ec4gJPEqfF,DnH6z1VewhwPk3R9nVXSMKbbGnNGov1q7PyNjcrkyXSC,230541.76,0.36
4mz56W8iKuMEQRBTDg1rnViWLmuXcFNpu6Ta9F2UTvew,4H3AYq7grj3ds1a9jqiNk693rBkHrUsFTkFPiaQXsQSE,230000.00,0.36
144vkREDf2VnN1HYo8RhihqMM2mdCuGY1iVGbipxTZmK,FF38aNySArQgvUxo8GpimHawA2eVrQrkgTF7aCvLSp6B,226387.75,0.35
DwZ2iC5F127cdeCw7RC5hHGJ4nrhQ91eVeosxFZCp74n,Emw8DtcKDKAYcKcU21wyPtjM6pFpzAjEAEaFHJCgXVfJ,212497.31,0.33
GXpbayBtrwxCzgGqPyuE7AQe7JNy5ggXTkfQtXMcLkZq,HAp3xFhyvJkfTNByCNVEPLszmzHiY98J5NZY93hdv8kC,212030.76,0.33
Bip8CfPkwsx1uQUpSt7f8AQwoQZ7mwowR5homEfhgJ1H,BKmxfYEJYxByWGmm17KtdBmpXM71PggmgwLvGjQhxuod,210326.08,0.33
CS27zG8FZ19uZRGoC7BjN6XWoc22xFFJDGPihm9JtNyR,FLM68bZW3FwvoZvqZe4xe7WPg2MVmCHPjy3Lu7aAiTGt,206223.58,0.32
HMq5GmoKfePcTAdT4GSE55sqesLr7FsdbfES3vhCNJVB,7SHT2dGG7WKcTwCTKdjDE3GMwYjYQWWiJybvSLufLGDT,205431.77,0.32
FpMSNzA2DzT8P1fsrVqcSEGcZ3DPbTAs81Z9nWLombCJ,2ADMxbkBrpUSVzY3oHkZ1uDhJ3h3v9pnJC8GZZARxuae,203610.36,0.32
AA2ky4urpc1oHJWyRnhxKbpsEzLHorEAbLhR833ENhTx,3JL5x5UgC1mb6afWaSRBdBkbkk75vWGih1QkRt8gBLau,202418.51,0.32
9oT2gEZpanCiSv2NtDa4p7y6CQ5oCFyGHVsAr2h7e2eH,HrVjE38XQhLhooihTL1cAKVvzbsWSytvDgrXhYipfu7F,201280.43,0.31
G2nGYaFuoWR25sHWVMY894JYNAG9bLgebVfDyCjutUGQ,7Fh6P1nGxTXqt8K5qCy2pkCxwngGHxvr8VFaZPE6isP5,200000.00,0.31
8pJ7PvL12jEfpTWzttUx4v7fcaoFh6Qn39aJ3KQJwKa7,DALFUA2sXVV5KcpAuJGQxEWUfjk6DXnsNeG4X8qi6H9H,200000.00,0.31
BuFhJ48zpJe4x1TcHwoEDKUkS6xdSkfC1mv8vj7i2dLz,EY3fpjnTQ5VegsFtofkVGo1YzenrRrdscZ8xFLH48iN4,198780.21,0.31
GfAfvkc3CVFcu3aBGTGQqVVFwQkhiEHZZcMHHRSnvUV,AJhs8s6XgVfCTXYYB1XQgn4U1T252AZtsSNJmxoX9o2n,195411.51,0.31
4pyi35CKuQcq4jcnYVju8n1NoCFnv8fdhx8ozfGiWxsr,5UyzDQQGV4LPQCdWxCpAYUVGmjLPutRuN3W3EwVv9MsV,195372.15,0.31
AXyQn1XJi8F156geKnwyBTdeJyEj1Vo8yoeaSMkTCQbb,HQ866CHfD7WzTXDy5m5symnhbrJwCNTeeGBs3UiZTtbe,194938.73,0.30
4KkamnjCyA7rdmCJy8s49PfLXCNMGBoroVcnQfv4MkiS,abkKbbMQkFuwmRkH2oTkgG2BMXrb3xoR9K25kfxUTTo,191660.69,0.30
AKJiZTwo1eKtGWddSEeEoAs5RZHWzXw33EwhQsRmPXez,94egbn45nEX37AjvnMbVYXPMz7QqoouYXJckTsUuKLbL,190053.35,0.30
6NSeWWX9LHxV5ZRqufu2cCeoa7ftBD6jkUWR8zVdQrRs,FGKT32FGRyKcRFqXo8L9Qn2ytuNbTb9fiihejLgKmQD1,188883.18,0.30
GWdDxjSE7F2jEBiKDBvazPkgg1affvFxYdz7pWZq8inS,BFyGmsTK6Rqp9KuqPc1Zi5Qy5Av38DUMsN7W1Azo821S,183554.67,0.29
