Account,Token Account,Quantity,Percentage
CMHmAxfVNRPeZogPAsPdqktzSdoeU97wUJNsY9f54ggq,GoxkxigK9qMC8YtoSa9m384iXzaAAh82oZUnu4F8UryV,7211939.11,0.72
CNudZYFgpbT26fidsiNrWfHeGTBMMeVWqruZXsEkcUPc,5JTsBUNhBfwbtfzUi9sZwmnAHmo7qa4qDhcLkQQyfqLT,7142816.31,0.71
HfPpwm8GQHttaBX8fZ7TZaFpJpcHFLVhpBhSvk1cxz9P,8HaPHW7dZnr48jjAQBkZBGPzjfw6Yw8eQonwWTZw6Eb3,7056610.87,0.71
DJmQ84PUdAeaUnjQWBF5kLC2QEMx75zGbC2uUJ25JseX,66UoM5ZcUYYnYCpY6qWR1acD32qtFR31HdiY761PHyUt,7000000.00,0.70
4aSA3GRVh41iFD6ibHvghEeM3aT6zjEevB79YDr8KKzv,BZcnAyVynWYMmqRMQZkufTkz5JeDNaWv151GfXrZBXna,6198089.39,0.62
A5xoLqUTeWrhxyVT8uYCyTPFS8kKN7yhzBeFZn8n9rgT,46merPgbM4XFWNefrmLAuk3uHfcASzTbJtmc6qDeNnRa,6073300.17,0.61
5koJqTmWTdHdzhcjMJ3DTKfnbj6sGoeRo6pdK82b3VKN,izzGg2JrMz8252naTaedbE5EjQSE5huY5DbNrtNcYog,6052052.97,0.61
6CahvpJk119TB4xbLZ6sy2ddf5nr3ytNjCiFntZqC89X,5XqkVSevyCvnTXFVY1nDZXsEJWi5tpfE177DzAaGTqDk,6000000.00,0.60
EwZftSqCE2vnTLGGKXN9TZFshujQDLmUxxiFzZBTQZEF,AgHSaSQuujJ4vmkFvYfYgXJeNH9vvRiB9N1i4HxUBBYb,5866122.02,0.59
FyDpkow1VFD2tdg3YYtaS9iaDZ5yMc3cDgGCz1BWHNQd,2VigSuT5GJ4kLCryePN9G7RxBpKSFNiX4dtqb3WhbxQc,5681510.13,0.57
3YsnEAz1xkBijzG1roh41gpqmKWA5ZtL182oVhjWeKqY,3TC6nheWEkewMT86FUUoRgSsUQux2pXeCuZZEPZurWYT,5420873.68,0.54
5RUsYYnj2dhBcUkKMjf5YUtasa58WsmZYVo9Q5TPMSpc,F4Q9uUqLmwVW3sh4uHKv4X9cdjr21PK3yJLTZWeQKyP2,5342299.40,0.53
68UZ8DLoWKsCzPnUcJJzBFQf9ru9LMB6S6SWr7jby9WS,2UYZKmiNoSrfE8MQqKrZCuTb9aq9MeLTGDXvCpXZmGkk,5222222.00,0.52
ChrDbK66NToye67bhcPetL1cA6mDobZu5WNWLtU5PD5J,HLd6JkAeYNeLmozL3hEaYNvAgK1wHjrz1f7LJaxBKkrx,5222222.00,0.52
2FW3ar6EGe1rdp2A36j1Xe8AXt2Jege7wjEAjuvu76XM,H3H3WJiAtZv32k1y219rR3Mqh1rsgvo9Lrbgg7hBZPtx,5222222.00,0.52
Fi5eKmRf5rR4ufy2LU8PqXSduzLqPZzHBSmyyJsB9DuW,7J6pBERmnTHe67qryGedbkYby1FnFwjxG1MPdWeU41PA,5222222.00,0.52
2gdTjqYcuK4eHZNVVN8LD5m7djwwXvjLkCu4bhvsVK8j,6tByY4fpPDExGfg46m6SRGNqqn2n4w57nRVJ4cow1EWC,5222222.00,0.52
68dMJE4Mw2K112aXfnV11WwJ8untAhqJiq1kSneA36jY,tsKkcgcR5SYJQXD4v2GPazKFmz8LbS7M261PRFqPSUi,5222222.00,0.52
2FedYokFXRuwhssfgTXDzL2cQa4L3JTomxo4YNEu9Pkb,Aqf1bxCPpH4cq1F2Yhudn28VSzNLhjTA1KjtmBmeh9iR,5222222.00,0.52
2A7EcfU1oAALR3H4QAx69nbZxXsa6UMNbxCNjzdhhYbU,B919CSdGJeavce7oefdeU4GVvDEP5YL43HNSB7HWXFaw,5222222.00,0.52
6Z38K7cD6QGxGN6EnG255zdvu2q1gpNQsksCKLJze4WL,E2tx2h3u4SENL6cj7K4xRy9jrvEFndTotB1rwi1yuowu,5222222.00,0.52
Hd4ppuxVkcNMaFJNUMQJN1tfsAAqQNtzNdfbFahAC8Q7,LE1s4oAV9L7CmtLMPPTxHb1viHSVz8mWMRaZDhBqgQM,5222222.00,0.52
Fj8xoEEaRzfV2SAskjcksEGM2KYL2h3Kg9Wf7vW5FoBU,2aRDAhGnjya8ihTUAJAFKJRmAbUxhDKY8Lxzji796Ec7,5068970.92,0.51
Df4Xf8hBcDJjy4oixa9DzFDr5TvJKgB4iCSVB5LSjDVJ,6gXVfFVwbooGMDVkQY9jQLbGpwworKSaHuJXUWV3xYv4,5021890.72,0.50
EDRhaW5nNkQRgdfuSwWxaDMHkzjAHEtHhcwjkotBkAPt,9JFmQzq1Py1ZwEPGzwQtRDAf6bjreVSWoaA6qcD9pFiZ,5000000.01,0.50
9J1owycJBxyPgapRBRALGm7Aubp6Rf9TngbLwpMVhNDf,AmTD52GgjMFTsdhRZzwtMQiVh35wrA75zQQxTiyotFjH,5000000.00,0.50
FWuj2Robtmfp1RZY6WLjMi7Qass4nv52FCDRPXFVM2Yf,45jX3UGDQbnAA95W1GgvMVqDgEfQ3Qc9vBtkcLt9mvfw,5000000.00,0.50
HTxbWuBo2RohNRoCD85d9CwViHH8QEAdW6TU5bZsmqsn,5X9RrfUUkBvBuXbcBgZiZRz8ZHsGUkYzPSmSGrMiCYb1,5000000.00,0.50
EzB3GQuMUYsq4RWys23WaxV66fbLh3mEwKD77vBMZ6qk,7EqT4bQG2b5cicU4Va2Tk1in4PRHzPcHegEk4Pk3otxY,4985916.95,0.50
FySyHRgDaqPnSgrGC1NVD5p5oQVDeD9BinuDjfz3NNSk,Gp3FMis7k3gdYvxdvdqugJAgGsovbGpm9kvQTUn6qVcu,4666027.09,0.47
93Nh57MdzEftBgH5ApKvNprCPGP1oEoJu1k82WR3PhhB,FT9BcTzvu78ERnTQyqcz4rpSW7NwnqgMfJqAB4eQongH,4528109.77,0.45
9fPCPdEXz1edzo4odsAaYVfTjtoPd23RK8jsLYh5e5PE,FeMgfwikTB4kKMRPu124A2QGgWTACS6ohhW4QQ2hj17s,4417799.41,0.44
Ce3cRPUuQbqvPsqjfsi7UmcGcAXN369Ap5CDxZ8KyocS,HBffEeHMmzHd8UYiRVugXhCcVfL2ojCdfGCetnrLiXoM,4304164.30,0.43
7uCgNV7PpLWUWM6ct6ccyLvWM8hcZ4g3LzfPFSRFHisk,7UoNwVNc6RKSMy2D8RcweAF6C4i4NX6Vk1jARzsm2WnZ,4301606.89,0.43
Aj4UN2FRJ2FEyXx32J3QXQLZ1PfHf8wftbXNMh8mNdZo,BjZsH1rLtMp2VE8m3fpyNjYUuKDdbb1q9bfLjSMRr61V,4285875.77,0.43
BSfJN41bb3wz8Luib2T8yHMc28DYPv52qNauFerwxUj,7xB9RJda8RJQwhXfrTB9jXRHiz1Nw9Y45Pt15cgDB6WR,4275811.20,0.43
6iqSZuhX7gsZha8C7J7yzDH9vrizgT4gZ6wetRSdczn7,GZKAF9znFWGfrdyiR7u3S6G9XfRaAFdv9GBFzyrcZ4NQ,4118937.54,0.41
EPwXMCqECZBtztWcpAK5bHVQhyr557shuDao4TM2F9kT,7ZJdSVTRHD6Q9fonXzNu3R9HS27nsoMGpvZPnspgWb3,4050772.01,0.41
E5mnM5AF84D35MizKssf54oLXX3LEn7DZoZyZGSyA8oB,6EsC4DyPPRujgmouWwMRXv4RQdvv7ZKEh9yc34E53a9j,4018210.63,0.40
5AH1psMjxzq4u8qnKgNbqLTonqMP5USkrZhvjKban213,GKZJCF51xwLbi89AtjtqsVk2YfQ2heGVVL9FnxysFLAg,3826848.29,0.38
DybeXx34yYVp1tNHyLS5nWuwcvaBiSgDgCojVqh5BsP2,5GgJL3LpDqQwN9tR3AcsetngU8dS78RyQ6mtofiHuPg8,3816172.84,0.38
3ubMo2HawsG5MBgERh9wMkrjFZqQ9ZMhkYso31qNofCc,4J7LWjiag7Jw9nRBZHLxyYfhEtSXFU6tJg6EGFJB6Wm8,3567979.50,0.36
EDbfpiD1vFBfTJdkoDWznJMJuud6wuYk4AVaB64u8XPc,9rS89V4ft6oVzSeQoFF7Pg2hEUAC3TagyRXWBfepcX2B,3476148.73,0.35
LeuhP6b2qisK3KJoEwsi9xvUoK8CA9beJJUNcxV6sY2,AdtiK45xDRrwen6QT1QBsA9q7atqtnuscvzdE7WDBp5F,3342404.50,0.33
GjURyDMFBHSnwMgEtxHuZCD9J12M5gcMwnmNktREUo4s,6X2v5aPyeXATkdHhJiucDzATAUfc6q7sJikzoNgUv2Jp,3263399.00,0.33
9rmVGPgsSqXzPHq7TpaftTAuE3uZoU3Ld7nm3D7G4xGV,3U7oFEGAfsmw8Ubs3DPC7nrLv85Ab1YSsXzCenvU7iis,3213363.95,0.32
AZVe2tJVJMqLx5kZUnvASpPDWVFhHBEeLnZzTFwSU1iT,j7bTtBHd6YBWoiG1zhN22jBsvxjvxS4zhtfqYSYan6r,3171115.59,0.32
3KoNo5aZK8jttEpdyNqB46TMZnsqHLRNsAUe9yeUYW4u,Dc9GgyqYcLjx1w9cKMmJavrnCFrt9tn3FndjZhUEW38,3144665.11,0.31
9kx6tgsbUfi46mytszAgDuCKb2VV8wg2DwGQamFsa48R,8Fsi2U3jCTe9RrnXgtiVAmgS96QK4G6zdJVFJBf1BXBf,3050428.19,0.31
HvQRiNk2LnWQDAJU2KyVPraKw5B82VuxTSzvhRJP3QdY,GeM5A1Gvic9iUSHi2PUaHUhK6SGGdJSdTdVrGiWmBaS1,3031325.86,0.30
DPmGdTwz7owE2R7Xgucjb2j4Wz64vsBpuv2GmNPB9p6R,3rPMoLuybazZ4qSC5J9yBPHKmU22w1urRw7rRJuNdKzn,3007839.13,0.30
EqbJittdeKxRKmGcmRggWpQsVq4uL3k37wSakhCVYwVv,DLsYBKx951SmkBQJn3BsiP1yiF8TChibFczreSJHYyo3,3002209.46,0.30
5HyMA6MyNmaFJhhaCRuJ4kdPAgqVRT9EyGmL2FZrjKFt,57CKhK3NRxHgz3RA69q8xtQqcWdxapyw5drQFyiFPJ5z,3000000.00,0.30
2bDPvxcyJPhPFnMTFPhRMgo74kDMiSaaGpBZFqgjUm8W,C7hHJnMPztEbBvDs6gFNR9K3yiG85tN5kd1B25ET7ips,3000000.00,0.30
EVKhr6WxXHZrZt3iFHvL3oJpHif89cScr1EcychSyct3,3UPDAuXYNeszQPEvgnYiMofaVEfvBXrrLjm7HgVfU2hs,2907799.18,0.29
CUkrid2iayZci2zpiHnE58EGo8SYrTniux6QEdMownsR,4NKJBtoGmw7XiiSRNWMwVZBNp5oua3po8J5kEaNLXeks,2891740.21,0.29
DfryLZ5CpPSthn1Rpu52YRYZ7qDMD1sWp9CFSAxnxXvY,HngYg4oz1sivBrrvJ1dBY32F2wtYQoK6GT2WQsrMuxLc,2867574.08,0.29
FeJxs6hnNTQUqQez1XE2j7r8FqrGryygBG1wjPnvqot7,9NgMkPL2Kmrb2GUNHf4F1jFg1ghk6tWVC1QCPwymYwN9,2820948.98,0.28
2gjifVj9u5vvQVMyxSynnckR4kQ7sfhQkSog7hsqPtMp,63XEmTab87L6nCGVLTdnvLTQg8EsPAw9YS8hmzdo4NsT,2725529.82,0.27
FbkrR1qnwqLWGhJG9391afaXNPEDxa1fLMrtwozatSqC,CC8134yorX4iFV1dKjFEfbVAG5ByUqDozPGsuVzzCMVg,2700000.00,0.27
5SV3Md4AxQicekL3fJLJXQHcYYH2ufkwYEmPLthYDj3W,Fg8eMiwUzvXv1bNzgzEzKDA8HP51HYCRQvxx5AsRVUcQ,2570083.31,0.26
B5G4gmsbnPFBk5msswCQqqTSNgbMn9X6qAqDGZs4KDbb,9TzfXSsW9CqRvJvxAU9Qa4fdJqtPQHvyo2CzixkMkNVM,2558133.40,0.26
5Uu7axHrgsv5BaWPgW1pk2foWzNf2didkPPHjchHMHH3,CpRiVCt3kMTp6ZWP71R9MPyiBHBbvxA1SeWwLdZWsaPC,2505200.54,0.25
2ConzXzTrf8DfuBLDKAcAzDfvr3GYyJE5mD8xBAeDmcK,4yn81HuhLTXyTGCVQwgD5iykL7JRVnU4DPAipqzLtJB,2487374.64,0.25
78pqrANg1nfGYCY79kde5NjQ1rAYNdfCmThkM1ei15w4,FMV2yFfKrXG6wwSQH82Jf4DW31NauACop6jMQJiT1fiZ,2458708.88,0.25
JB346Jc4MAyEw8MTYfDagYvT9bzcvAogsTh3ow3AuTRn,2Lv2byFbTuDW7A4ahAhV29fYjtSPbfWp9TMiMecohEkA,2416400.47,0.24
25mYnjJ2MXHZH6NvTTdA63JvjgRVcuiaj6MRiEQNs1Dq,3RsAJ3evBUHGQBGdjn89KzBYd68X4gwHobKkzqDAt5VV,2356800.50,0.24
FuaS3aCc4ciV745q3CxugwwkymhDEdgQBUynCCgsVbMn,HvGhYwoAv3ErfBnMdcHHEVLJKKkJR9kunj7VNxzSAAA5,2261001.55,0.23
Dz3gzGBRZyHVcE6CruDr5Srnwsofxmab6ge9jX7GKPQo,DPNqwaWfXBwuvssBx1Z64RVKVQkVVNw2H2JUbCXfDKWk,2225124.83,0.22
3haXVhWSKEtfbkDWqrAVrhRo6bdy4P4Xak4hMLqUJBGP,41K5mkTUQAiDGFkSGqef6KjMeXw2wRhcbULadyobeLNC,2187945.35,0.22
ANgGRuThCtD2YKC1Ybxw9BDyiiHrN6U8vnniMiJcFpkT,4L7CbYfcoGSUWXvv2TNUUL5LdHarokyQhTNxzicAnYtK,2126360.18,0.21
DomN3tBFXr2wJ2MYEzD8piiQ3dknuGyayxdNPo5dJUch,HQCFi76QGEyK5CceVFs5gUkUzRpm3utuEs3V7z9npAcz,2118291.09,0.21
J6GjvrG27XJAXKAaBJ2ZeaDMxqopfWTazsVKt1GD56vs,5T2R4husLbQYf6yiGy82DbMof2kPeBgFzMAXuHu5rwr3,2106708.28,0.21
33F1LStNsZzu1cFTfhyPbU3EiDFwAkJCucTb8bgh3pUp,CCfsSbbrGhJ881zQ6xjv1TkJfASJZ73WUjBKem2cAMo4,2043862.19,0.20
7WqntpArxQYYpxW46oLkdp9AKcukqy26UPTRJPTj3keH,HJrapWZD5ro18PtNGZaPA2iVzV25BPjYhtUWqTn1VgHR,2028605.89,0.20
BVgD4fSTLP8no6k5xwcYucCc7YSdb6RGB2GwMGv42s1M,GY9QHqRR8FW9VhoFCFnRtYeLU1WDDMbcQSeek3WXLJGS,2011271.04,0.20
hkKPgaunmSCrNV1W3ngDgfubWwstzJs7TUL9MiDrgmS,5xGnXXz3sSQeaQncMbAryukTDKmVyNBqYrXv6F8ffN6v,2002923.70,0.20
51Q6WFZH5wjwZJMVF2rNG8v2Wb88CzxDiFSRwpHT8UjH,FnABNDksCaVi7a2fi5vL5pVfvDwEyYvfhDB4fYdycsNa,2000000.54,0.20
CoZUMNokjufxTVncU1MDWDvFS27SJiu6VZ1kLsg3LZoU,5ExpbgUmUqNBMf7LYj2qa3ArPJQhnRyiht4hkJp6br2L,2000000.00,0.20
bSPV3wVVsL8JTgGmYXhLvsEJMNFrQjjn71UUqgCvJL7,HMTKMS76aWfMNnvocR7bjy2kZWdt3QFejqnsw6TLJHkQ,1998352.02,0.20
