Account,Token Account,Quantity,Percentage
8TWNcXvh9BXKdgNdRKGAfKzGUYsoVDMKUuAdbMYxCJEA,EZ9AGq3qkFfKnidPGVpN9qExTAhzvt8zD5LezyfHazBU,4883080.16,0.44
7oA9PeZPwepWUpcrPnVD4Y13FEs8WToKFzbB3irbZ14U,83AFYNruyNCZZhXRswiZL8rjxj4E6TkbJNZqy9D8Pq5R,4509869.15,0.41
B6FsUNTTAgDNMpmKutJb7bfkkfH5ogdepkLSV4vFXzDV,GqAH4gYMbcrkWYywTmJNcF5bcknDUun8k5hzfhvDGMBk,4383668.11,0.40
EguQEwantdBTApJuetz7WTqap7ofSYdLLcf5yYZLZWYd,WyoqK1cJea3L9x75QVB4MJ4NyXLyC6Qe54J4EDrGmQq,4000000.00,0.36
AVr8LrXzt3iFD9vKYkr6N2a7nopuKtdkdqwN3XrPmT3E,3PYLBe1rYsXzAZRCM8cqyowzzSNHuvFSLYv4RFbgHWqi,3897028.45,0.35
FziqbydTJJp1jEJNv66xTqY62xHZfqTYzTYTNrQ9JRC8,HC2c3cqEqU3xZ7cCyBTzmKSmzeqoAFqr7fhVSw3GjesH,3580318.13,0.33
9Gb7arzM1gj7i7n12JqgTLjUNtJGxPbJBWvDY7zfaryt,HtayPKZJdB3jcfKmj4Lv1NAxT84NF5Ti2M4vG3SJHN8u,3552856.37,0.32
6C6bwAdo4u5i1KnudDY7NfGFCLHDEuL8ykcPfQcEMLxE,9PVz6ouxN7J31Fn9o8EExcv76didNh7kHJmE5CAgWCRi,3417735.77,0.31
CE8WGho21rhfgwjxYiiHL8navNqSDXurBXranhZPdguh,HXXexk9FN9qxsWLNvxZFyYGhmRaCiuiGq2XsTa8xnFUS,3200000.00,0.29
86okpKbM2YjxchtfRXcsGfoRU6AyJHYsbrShUXF2XjU,83bL6Seg3S2PrG9Xceuk3C8d3vtyXmxc68M3z7hp3wXF,3177575.17,0.29
HVh6wHNBAsG3pq1Bj5oCzRjoWKVogEDHwUHkRz3ekFgt,7eZPgyKX5Xmaij6d4noyyJv1T6PzCp1Rfy5iyNV2FiTQ,3108820.42,0.28
GHTefoPnwjLxYoDZGpzEHWdUEoo44tECpWsKUQxS5EER,FTtMgrC6VMse9xQaij8TibbPSRKXSW91DyrsbphAfj39,3000000.00,0.27
BNn4KmTmt9wabA7kKt72Ws72DKAoMrcoXjL39tsaTehL,EdXN6gVoEfUh3oyLtcSwVSwTht8cw8MUd2rrX7tyJX9s,2970000.00,0.27
AR1EHEMhAymT7WbvS73eik5p7ic9tYQjZfFL1cHHgf1w,G6YkBxtWUesGJ499PiZaZpxbNmuyL2ZanSJPbvg5y4HF,2960001.00,0.27
3Fj8a6p5XyQ9GpK588t2444pqPk6zSwXesZjHK2A5Jcw,5oeX2gCtChGWBorSnkEfwkxSfVA3d9GTjg2mfNTFxFZW,2853182.81,0.26
42be12TkV5E489PHzxva3fb3DZ9UWH4EXjKZMTMya6LT,7xhufPiHx5mBuiduNXYjAiFKmjB7zsGtStuojM4jdEk9,2848387.94,0.26
AzvcH4DAa2icyDKevvcnrkoz6ySnzSi6L76Lc21PXHLj,AVdvRWnEra294PaEBRHDm6JBKQPrTBeizGM9MHpoLXxt,2800000.00,0.25
44W73kGYQgXCTNkGxUmHv8DDBPCxojBcX49uuKmbFc9U,EDqfvkrfRroiSGQbmdKL6mcSNwyejJgvMyLQJxKTRLX,2758880.72,0.25
FWznbcNXWQuHTawe9RxvQ2LdCENssh12dsznf4RiouN5,BBLaFKinVyCTCBfd3oT7AjwA7ccmZe92mo6uLprGAxkG,2694123.63,0.24
CJ2JDq7pWdwNzBZ4Wvq1zKzmpAWr7XRu8JBFqzh8mDR7,5kvMtiyH3q9GDJswsMLmkg7hZ4wnRir4eqevQ2WbtHFb,2598196.52,0.24
FfyoDkfbvbRnLMiQWsyaVvhSTpi5LpXuSPpYMkRtNnoA,63aubRnmXUUYn8UDcxfrJqLFZcYu98Km8KZjrsQErBMS,2595692.45,0.24
C2fz88v92NHEbznJDXT2aX5zwq1jxhzV2zKGmTGFbdbq,E4hVo31fYQf25Lk6qaMd9BhGmKWP8tQhHZvYzRyR3Xhp,2503048.37,0.23
4TYF8iW8bXET9C8aFgJoiUHhNtpBg5bqRsxSptCExvz7,bpDKUpzMnBY35P8i1cuUUyPDTa6vuooMzogvbaEkvts,2466000.06,0.22
49FdcRN79WmjmYz46eJKPDPQRgMSjLzHJTJ3daNj3WGm,9x2jReBrXQMup3x2KYziBkcfhXa81TDujKXMK1itud3,2425016.77,0.22
2GtTDpNvwsd5Ho4p71FDaNuhNi6M2DPg1iu13EJfqbSg,4exKqSEfV9vNSpdEe8YbX1vWK5x3PVUGzMrXU7wXSRwf,2412678.23,0.22
EQXMMMrw67waupwJhWRN7R24vgvF1RgKeQbYFQxQgdku,6KXRfjR9aheeugTAMqDXVnBWAjBSo5d6gUbxbaS45E5x,2408124.66,0.22
A2G932qMMAGdMm4qktZqrMu7vvNP1Mztd6mB3pgaq7Sm,DHMv9SmY21mVpGEsQQe9oEK3Rj3YYwWHxyQ2huqL6AQi,2376986.31,0.22
9MYxpgZbTy3xEv46XiiUjtHUR5PCaPk7zAZaNMhKcwp7,AFM9uKKyyQN6N3FxifMHrHx3UC1DD3rmmQCVSt4knnXy,2306834.22,0.21
2zsvt5N1chuhgtNZ73EEzDUCkBiPNGnn5ehUZSAvfUzF,9tDxJtuMtdeHMKRPrPutNRawPPqe39sWws2NuqjXvExK,2278634.99,0.21
3wY7okWt6XjGewtwCxL5eTTW8NSRgeFku5yPWMKYTbR8,9g9P5QVhEN4eoyPN2DnXTafjgfJ7qMvc1ZPeWHXAgzmV,2273826.51,0.21
4g9dwu6iVKnX91zRF3QTE7avjQoxbj15GZ7rHeo1SyWS,6fuUvyKH7eJhN7S8bw27jNEWZYnQQd1TskJgqUngLy7x,2263100.00,0.21
HB2CgFMfdr7bFxZrsuPcP1MpFcqoyGWSZQBQKceGn2r6,9FMpPC8yYTmKvrKZfgYca9VE6yinnxsENpHkDg5Bwnz6,2198395.52,0.20
3RQFuqWyFLdKKDbUVtvY1wtNWqwroz8EmA6jX468akpv,J9tjryAsUPLaoZEYFofTFhfmzsiecNnxfDxRGz8ng1et,2132632.20,0.19
JCNCMFXo5M5qwUPg2Utu1u6YWp3MbygxqBsBeXXJfrw,7PVyDi2NnsfTDaJM1zKn4k6Anz8Usf5yMZdaXFRm1rfz,2114496.55,0.19
Dt3ahczmxcYYaB9AdhHDQiPUkeaj4ZpDziMFthwjGLbW,J8g7mswfy2WULibSFpyd2mvktD8w79nBSsDGwXP3m2Jq,2097150.53,0.19
gVPyXuqQFrCVx6VWNCuEPM9oM4Ne19q3kCwn7LQxzQ6,7CeMe6bEP1JCNHBqCC1sBDVosTueq6vPuVubdjLBCK48,2070937.61,0.19
CuVihn1nNP2a6QtDhBuvMxyiFPBgXe7dJ8kPSXjHcWLp,A8jdLDgvJCK9esvBQAvHeWokeZbmHzfvVr86z7jsYxHd,2000000.00,0.18
32r5Vih9xDWmk9gocX8FTviMS9Yyukyo9RvS964KuZom,BqGY5ihHzQkVtHhF31tGtMpvhrzbf16JNAsEC2NuEM7A,2000000.00,0.18
9d7wFVSXorTBr4JBXb329Zru95obpwgJAEPRshd9RsD8,2KiVGSrKh8qj5c3PYBWFeFo9xvjx7HVjXAKQ99Wu6SHN,2000000.00,0.18
pawn4o65U4xNuX8YjruoyCWrFwEBer7fWk91puP4L6Y,DPWkfu7ModC3wLHJWQyUXyoGonS3Mh4P82F54tJ974xK,2000000.00,0.18
46k4EaUeHgjxZ9i1CukVarn8GLmpLvQMon183YpJh8x9,5YcP2imc4b2nzmSPhx5zoATbqgtz1tRq19d6qV4tjBki,2000000.00,0.18
7bSayEEAcAPvWA1vqygSzgABX5vDCivqEGptcesu2gXi,4TkwepnyfC4HYpoEfBAeQGGMp46Uef47xjZVUdmHQ4pw,1976245.14,0.18
E97JW7BKv7VwdZfCdqwhboAmCCSJbFJSx6HhAmNDNJsc,Bpgf7VkcZVFwMbrutv4i77wbPzungiGxGJAaYqpHFD5S,1953791.56,0.18
6yUzxTbTYJsMJUrEwg4MDCdyAW9PmhxAykJLgVYKwcQQ,5qaSJii5U5XbJSDUTiNieQs6aJ4VTAaiCTu4poUkxgir,1929644.44,0.18
J8DiwrypUB3xDYyCESnKREsrZQpJymLhbe292pTMopan,FpkUjZd6jY6KnyNvNXodcKoX7t5BUfV2YFCYwVDDeTTk,1927598.17,0.18
2uSXAsZgkLHXzDhL6jFkcQ3xHJXk8qm6XDouLs9L2SjA,F44DE4bCBGX44AERiiy1RiEz8igrWV7L5HKwv1LJp655,1889305.97,0.17
B7pUc18jroDmMRnqUnHbktqu6MxiKL32iLwduuhXCHoe,46hseYKt7jrEfiVZxvMg3XMvcDaNk996dyjYfLPC6YVY,1790137.57,0.16
9QbCtuKZEEsTBv2voRq3ZSycBJnbhqJNzhuCcJ6uiMEE,EZKwmAateZiacWuxzPvH2ePS6VM7RQ1YhsWU79WmKMpj,1705273.00,0.16
Ejf78h3QVKMmb7dzJVfmZHeqgnaVt5rNBCdhAQh92BBA,ARieGmd8kSqr8wbRtnPMr7PhMYcQTDK3dS1vKmo6UuQ3,1684316.42,0.15
3Ln6KEgLoMR2xFHfqtYazP7CxFQPDtUVVtwCVsLKVfmV,2WoBFpzsrfz21pL2z2smMChZUubpWHR98zhY63AoXgya,1660598.95,0.15
4epNUsvTowXyFzujRfB2MfjL9e9RgNFXbeKojgcy2zsu,AdcXXf3M6MBBnnpV77eRmAMUqhASfBzgboRrkKkK9Ezp,1650000.00,0.15
3ppxx6hwi1QbJk7JKCwBhhTgRdxTNT2zZDjRzJyLu3yi,Z5je4QSERK6PF4oPNZJHgvZT6Nz3TbMdDKCiiL1es8X,1600000.00,0.15
GjRacG5qhTwQfUd5r8qAYdiUEVpArJt1T3VcYJh9SWR4,FGUcSuwFgdZaBH2BKcWrw5VWy3nrofmdM4GrZF4nT78Y,1554221.73,0.14
FZ1t8TZtx7VSCQdBsxvFJiezj9paUBF6Ub7RKA2eTGyE,9K4AYnn6bzxBe5uoxce6NFmHsAsSbJRCs8ei1xZ4TNis,1532224.57,0.14
6V2GoJqVbugcPYAAdCvjGzHkshqkNxhZhHqeiSsyTYRD,9QVRHS7N52QQapH5vbZs55XUjeoR2mtpFjgvXVhDTvxw,1510433.89,0.14
7WUzqEfQqK2sRbweM7h2BHJVyam3q487MTUj1AxNc6fZ,7dUmk66F1Z3GcyWynBTyGfWHi1tBqjviqRJ2WYuxz3WV,1508164.73,0.14
2GTPM596rEmdJEcYdYjJv9REC83T97nTuhVFVzFifkBG,F85swD2XRdzuJvuZkhQwUbstd5drC1GhkcT3qUcd7sG2,1500000.00,0.14
HiXhw6DyaFsGVntujTDrRcmutEWMfgD3edAhXZidv2PV,51H5Z8y1k7hnAoFM98W4Cp5Egw5kFfNZv9Mf7KawLdqx,1500000.00,0.14
4KrNnh2x5p26vY7u4S56HdVU5hxD3moCsyJAohmZLW12,9ZKRB2x4DAxadF2nWVVjP2Wkv8Ja7giD83vqDvzitxyB,1500000.00,0.14
CZZtnLmFUA4Sethb3uinyQ63Wa66m925otTnmuAQrXUi,4FyWWdatiiKgZcCbcnEGpxmUPYSMCWByBSsKgkccPaDo,1500000.00,0.14
ip6mk3K48hE7jFxBBAt5ZFxX9AZZjsii9HX4F2Cb2rB,FRUdurCAjMAhkPhcSChLMkDjsXHwvkCwHA32ThzCM4nR,1425001.00,0.13
79sJvLQ3QrL88Uc9jgV3iTT5Ft19xtMbjmAkhgoKh38W,D3KyfCWqmTB2z2VKmYUHo6SL8rURXN8C6nAHgd1Y1tM,1417330.97,0.13
