Account,Token Account,Quantity,Percentage
3B7XAQrLoEMDEGvX8569F9GRb9PcXXocJmj5wvhhei9z,8veyTUzoqVsLHe4ACtcn5v5ctfR9yYHaHT3Txg2grATr,435513.10,0.04
4v7nGvhrYgHxwkeVAUijm3HPaFLBA133Z3SBrxsFWjzD,6xXzivk8FjrGX2SsJuR7J4no94niJEqUwBkuX2yfbWS2,416489.09,0.04
4GC3a1RkRXx5shwGP8pTY6cxXgSWkbfc66vM53a6qSKj,89nWdCwA9SPCh25Jh3ZYEXfJh3fWJ7SeHPwrwfVCkqHR,370002.26,0.04
7yMSDwTMS9MFTDS7PN3vnhB68ghpXsdxv64nTNb4FeDz,9LZAKndWqbmyGygqjg8fV9ujnoiW8Q2z1vjZ6NbmpUuG,359869.26,0.04
8TWNcXvh9BXKdgNdRKGAfKzGUYsoVDMKUuAdbMYxCJEA,CxCcyz8Sts9vWSKqmf773oUyLUPV9cLdifejc2N7PUoi,326595.38,0.03
GQsPr4RJk9AZkkfWHud7v4MtotcxhaYzZHdsPCg9vNvW,3DZg4BbkBj8GKEXXXRtu6wUunpCAth6n8gZur9Dronvt,324754.20,0.03
8zFZHuSRuDpuAR7J6FzwyF3vKNx4CVW3DFHJerQhc7Zd,DPNo8L7hbRX8F7JFyEZLAbPUViae7m2qSCKYTEo1cR6C,309513.70,0.03
4CTUHtiHrPHFT4Zc1qNScrposmM7xfupU7EVDWCR7PZw,8rpWRkvkhaY51zDG6cj6nc2HqxkuFNsAudnXn1yc5H4e,294188.44,0.03
CSEncqtqbmNRjve42sNnbs5cCSmrjUNsAEwc17XY2RCs,3DcMYw6coBijbSTjXnNUANhaPQ4X1xaUNDrkJugf9mhL,289633.92,0.03
GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,Gy2JYhV9gAZUBrjq35St78VMrXiufU72Que26pmhMYob,283882.42,0.03
GL8T72PKygWaYrLKtSteN9UUvYYnuC8azNDunk4eaqqQ,ETXxQ5iMd7LkzBS2NAPS8PZWYPPKUFLbSk4nY2XndbSt,269772.45,0.03
J88iiSwqYUGvH1kF3jpBdCqwcE5pMAndvKPnpU7KUMbW,9mPLsXdXp39tk4qrNK4Wb3YwnwoKN6ijbad6rSjSWoTV,261982.65,0.03
HVh6wHNBAsG3pq1Bj5oCzRjoWKVogEDHwUHkRz3ekFgt,BHPJcRGveAXGPiJgCfceGjqmP8bn9grTfhypYfBqzPHw,250000.00,0.03
EoN2ef1hPAT9WCw6gjkgp6922WvagdCcjkJGkXqB33aW,GgDUrw1B73zom7pJvtEkaerei1f7ZUMCGvuKHBUXRLLi,245971.89,0.02
3QnBeoPMPB3H78WgJssep7rs3A8477LR2FhtwrnZoRie,BkqryYLg3s5RMAZhxX4tfosb6WWhFbga9Tb2onhqp36C,235000.00,0.02
CTRWQ3mn1VSPdZgJdA3GiLCcBo1vA24gPnZGma89mrKn,2z66deu2we2bWsrkUzZ2EKFDs7rPj8kApQw7EUzhjtvX,232000.07,0.02
G1d69HFvNiJc4gAJAtjv4DkePPAYv6Z3vttY5XCTq3vN,7o4qVbzkUctAxFgEWUtdvsY8ivtXQrLdCfvTctRifc3B,222601.67,0.02
7z2CX7EVVvyTzMnFUBUmHUWoyymFpspgHB5gdhXaHsLB,uzUn4b44BYWgtgJfby8GHHYSMWqXtEmKn2GHy6NRbot,219754.41,0.02
3y1jvCpZ4HbHYNvuPcJ4vRHub9TBSYXc3yrBFRjKmgrH,EZ2qXi8LTCNQJDxFieWp76EDGytd9DWZXe2vyR2DAPkE,207856.71,0.02
D84hBTGHBburCHiN37xYfQYKhiSBvXXvKy9YfUgVxu9m,EgUSj3Ch2gdjeEBgjXi19AAVauKyDJupiHbFNzGEZqap,207177.19,0.02
BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,Ey7iFHjmR5cPUENE1PFVUpUciSrVPq9aSX3gizfV7Mj4,203667.99,0.02
AQfgdsH4CnjcxqoZNd9RZWGA9Q2gkKQ9e6hnQz1UQnFb,AiH9Xs3hoVp5Nf6VLqX62hMjt4fKZfQEx7sNaLFjTT3r,195000.00,0.02
FqdKeDySTDXdrLZojEhUd5ZLKJALMghP3ec134NG7xG,Fpyu3umm6MCCJ9kM9Ddv2gkN6zJEHdsymtowinKJJyee,193727.81,0.02
2311zgVvwvWkGnG8ZjiKCzE9ASSpf4peoUxEsXuVEJ9A,65YvppWxb27z1PkVH54tq73GYneQwq9BhPLQEoPCPW3h,180592.00,0.02
DkWjJFAY3kk26oQ1bNUS1DUbVRCVQCQNGirjPG6JyVDP,FFRMPd8n7PUq5dRVLXudCN1ya1Zmn64WedJGwHs7f48b,180018.01,0.02
8gVgczWCy9unAan7m1C91S5UXCAEgXthzVsZhZP49tpo,75iUYxTE8tttPEtXeP1s5FvXd1RVhN34JLzUWyEighsU,175966.79,0.02
Bs69pLLrF5g4N2X8VRU4cQdJHiAzBj6c6xzqLAHAiY1N,6zvnFEmbR3QAehgSHftGewQ34TYEG5vqAe2GDpjP5LQT,172661.13,0.02
2QHScDLxZxc2pkAmin9oLvS6HSWGgV6TYMmDjmHJHuKe,6rA3mQB8sRUheEqQmJgG9rKyaV7g7Q4gF6MaiEDwEWXn,171809.15,0.02
BBUqU6h4vkh9tLQ8uC851nzxCwTMyoJpGCKJZe7mibZB,HwoeMEHWwTTm2cxsZKm1j4Gi9mCiiDWM6nohsDrm4aQJ,170338.88,0.02
